Ref,Val,Package,PosX,PosY,Rot,Side
"C117","0.1uF/50V","0603",-153.619200,-110.109000,90.000000,bottom
"C118","0.1uF/50V","0603",-156.464000,-100.330000,180.000000,bottom
"C119","0.1uF/50V","0603",-147.015200,-100.660200,0.000000,bottom
"C120","0.1uF/50V","0603",-155.930600,-107.797600,180.000000,bottom
"C121","0.1uF/50V","0603",-156.413200,-110.109000,90.000000,bottom
"C122","0.1uF/50V","0603",-147.066000,-110.617000,90.000000,bottom
"C123","0.1uF/50V","0603",-155.016200,-110.109000,90.000000,bottom
